адрес_места_нахождения,наименование_кабинета,оснащенность,приспособленность_для_инвалидов
"Пулковская улица, 6а",Аудитория 1-307 Учебная аудитория для проведения занятий семинарского типа (лабораторных работ),"Тренажер Ил-86 Автомат переключения питания АПП-1М-3, 2 шт.,Блок автоматического запуска БАЗ-86, 4 шт.,Блок БК-300, 3 шт.,Блок БКН-86, 3 шт.,Блок защиты БЗУ, 2 шт.,Блок БПП-76, 3 шт.,Блок БРН, 5 шт.,Выпрямитель ВУ-3Б, 2шт.,Индикатор ИП-45Э, 1 шт. Преобразователь ПТС-250-2с, 1 шт.,Прибор УКАМП, 2 шт. Радиовысотомер А-031, 2 шт.,Радиокомпас АРК-15 1 шт.,Радиостанция БАКЛАН-20, 2 шт.,Радиостанция МИКРОН МК-36-03, 1 шт.,Система 2ИА-7АБ, 1 шт.,Трансформатор ТС, 2 шт.,Блок БПБЭ 3Б 3 шт. Блок реле 4 шт. Измеритель температуры ИТП-1, 1 шт. Мультиметр стрелочный 6 шт. Пульт ППСС, 1 шт. СУС-86, 2 шт. Указатель УИ3 3Б, 2 шт.",-
"Пулковская улица, 6а",Аудитория 1-311 Учебная аудитория для проведения занятий лекционного типа,"Комплект учебной мебели (столы, стулья, доска) Ноутбук ASUS, 1 шт. Мультимедийный проектор SANYO, 1 шт. Интерактивная доска Activeboard Promethean, 1 шт. Усилитель мощности CROWN, 1 шт. Коммутационный модуль H-23, 1 шт. Акустическая система JBL, 1 шт. Проигрыватель DVD JVC, 1 шт.",-
"Пулковская улица, 6а","Аудитория 1-305 Учебная аудитория для проведения занятий семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска) Рабочие места -15 шт.  Дисплей TFT (Монитор Samsung LCD 17"""" 710 N TFT), 9 шт. Дисплей TFT (Монитор Samsung LCD 19"""" 910 N TFT), 6 шт. Компьютер Pentium 4-2,6/INTEL, 4 шт. Компьютер Pentium 4-2,8/INTEL, 11 шт.",-
"Пулковская улица, 6а",Аудитория 1-304 Учебная аудитория для проведения занятий лекционного типа (защит ВКР),"Комплект учебной мебели (столы, стулья, доска) Ноутбук Acer, 1 шт. Мультимедийный проектор Panasonic, 1 шт. Переносной экран на штативе Matte White S 200х200, 1 шт.",-
"Пулковская улица, 6а","Аудитория 1-214 Учебная аудитория для проведения занятий семинарского типа, практических занятий, лабораторных работ,  текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6","Аудитория 3-226 Учебная аудитория для проведения занятий лекционного типа, семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 2-221 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 2-219 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 2-206 Учебный класс авиационного тренажера MTD А330. Для проведения практических занятий, текущего контроля и промежуточной аттестации.",Авиационный тренажер для обучения техническому обслуживанию самолета А320 - 1 шт. Мест для обучаемых -12 шт. Место инструктора -1 шт. Принтер НР - 1 шт;,-
"Пулковская улица, 6а","Аудитория 2-116 Учебная аудитория для проведения занятий семинарского типа, практических занятий, лабораторных работ, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска); ПК -10 шт, Программное обеспечение: Microsoft (ОС семейства Windows, пакеты приложений Microsoft Office)",-
"Пулковская улица, 6а","Аудитория 2-115 Учебная аудитория для проведения занятий семинарского типа, практических занятий, лабораторных работ, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска); ПК -10 шт, Программное обеспечение: Microsoft (ОС семейства Windows, пакеты приложений Microsoft Office)",-
"Пулковская улица, 6а","Аудитория 2-115 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска); ПК -10 шт, Программное обеспечение: Microsoft (ОС семейства Windows, пакеты приложений Microsoft Office)",-
"Пулковская улица, 6а","Аудитория 2-108 Учебная аудитория для проведения занятий семинарского типа, практических занятий, лабораторных работ,  текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска); ПК - 12шт, Программное обеспечение: Microsoft (ОС семейства Windows, пакеты приложений Microsoft Office).",-
"Пулковская улица, 6а","Аудитория 2-109 Учебная аудитория для проведения занятий семинарского типа, практических занятий, лабораторных работ , текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска); ПК - 12шт, Программное обеспечение: Microsoft (ОС семейства Windows, пакеты приложений Microsoft Office).",-
"Пулковская улица, 6а","Аудитория 2-107 Учебная аудитория для проведения занятий семинарского типа, практических занятий, лабораторных работ , текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска); ПК - 11шт, Программное обеспечение: Microsoft (ОС семейства Windows, пакеты приложений Microsoft Office).",-
"Пулковская улица, 6а","Аудитория 2-101 Учебная аудитория для проведения занятий лекционного типа, семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска); ПК - 1 шт, Проектор – 1 шт.,Экран – 1 шт.",-
"Пулковская улица, 6а","Аудитория 2-102 Учебная аудитория для проведения занятий лекционного типа, семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска); ПК 1-шт, Проектор – 1 шт.,Экран – 1 шт.",-
"Пулковская улица, 6а","Аудитория 1-315 Учебная аудитория для проведения занятий семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 6а","Аудитория 1-312 Учебная аудитория для проведения занятий лекционного типа, семинарского типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
